                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                  1.073,                 0.9323,                0.96861,                0.95321,                0.97242,                0.98546,                0.68311,                 1.0746,                0.83541,                0.92463,             0.00026749,             0.00026749,             0.00026749
                     83,                 1.0346,                0.93332,                 0.9748,                0.95321,                0.97242,                0.98546,                0.68311,                 1.0746,                0.83541,                0.92463,             0.00025726,             0.00025726,             0.00025726
                     84,                 1.0738,                 1.0826,                0.99378,                0.94517,                0.98274,                0.98675,                0.68832,                  1.069,                0.82803,                0.92217,              0.0002467,              0.0002467,              0.0002467
                     85,                 1.1645,                0.90411,                0.95362,                0.94517,                0.98274,                0.98675,                0.68832,                  1.069,                0.82803,                0.92217,             0.00023581,             0.00023581,             0.00023581
                     86,                 1.2479,                0.99017,                0.96988,                0.94517,                0.98274,                0.98675,                0.68832,                  1.069,                0.82803,                0.92217,             0.00022459,             0.00022459,             0.00022459
                     87,                 0.9644,                0.89017,                 0.9935,                0.94517,                0.98274,                0.98675,                0.68832,                  1.069,                0.82803,                0.92217,             0.00021304,             0.00021304,             0.00021304
                     88,                 1.0062,                0.83713,                0.94838,                0.94637,                0.98637,                0.98736,                0.70309,                 1.0347,                0.79512,                0.91498,             0.00020116,             0.00020116,             0.00020116
                     89,                 1.1161,                0.97178,                0.95591,                0.94637,                0.98637,                0.98736,                0.70309,                 1.0347,                0.79512,                0.91498,             0.00018894,             0.00018894,             0.00018894
                     90,                 1.0526,                0.92321,                 0.9438,                0.94637,                0.98637,                0.98736,                0.70309,                 1.0347,                0.79512,                0.91498,              0.0001764,              0.0001764,              0.0001764
                     91,                 1.0366,                0.91256,                 1.0256,                0.94637,                0.98637,                0.98736,                0.70309,                 1.0347,                0.79512,                0.91498,             0.00016353,             0.00016353,             0.00016353
                     92,                 0.9897,                0.92034,                 1.0011,                0.94949,                0.98804,                0.98804,                0.71127,                  1.017,                0.78094,                0.91083,             0.00015033,             0.00015033,             0.00015033
                     93,                0.97997,                0.86609,                0.97166,                0.94949,                0.98804,                0.98804,                0.71127,                  1.017,                0.78094,                0.91083,              0.0001368,              0.0001368,              0.0001368
                     94,                0.94749,                0.87435,                 0.9865,                0.94949,                0.98804,                0.98804,                0.71127,                  1.017,                0.78094,                0.91083,             0.00012294,             0.00012294,             0.00012294
                     95,                0.92349,                0.85062,                 0.9595,                0.94949,                0.98804,                0.98804,                0.71127,                  1.017,                0.78094,                0.91083,             0.00010875,             0.00010875,             0.00010875
                     96,                 0.9317,                0.83097,                 0.9548,                0.95795,                0.98361,                0.98871,                0.71559,                 1.0012,                0.76302,                0.91039,             9.4227e-05,             9.4227e-05,             9.4227e-05
                     97,                0.93972,                0.97984,                0.99045,                0.95795,                0.98361,                0.98871,                0.71559,                 1.0012,                0.76302,                0.91039,             7.9376e-05,             7.9376e-05,             7.9376e-05
                     98,                 1.0079,                0.79761,                0.93942,                0.95795,                0.98361,                0.98871,                0.71559,                 1.0012,                0.76302,                0.91039,             6.4195e-05,             6.4195e-05,             6.4195e-05
                     99,                0.93495,                0.83395,                0.95292,                0.95795,                0.98361,                0.98871,                0.71559,                 1.0012,                0.76302,                0.91039,             4.8683e-05,             4.8683e-05,             4.8683e-05
                    100,                 0.8938,                0.77101,                 0.9343,                0.95678,                 0.9819,                0.98873,                0.71929,                0.99289,                0.75327,                0.91058,             3.2842e-05,             3.2842e-05,             3.2842e-05
